,timeStamp,volume
0,2020-08-06 08:00:00,"{'eth': '49.42154867956374', 'usd': '19591.475492999998', 'eur': '16592.107943'}"
1,2020-08-06 09:00:00,"{'eth': '211.74456390663116', 'usd': '84094.66655', 'eur': '71181.314469'}"
2,2020-08-06 10:00:00,"{'eth': '74.14469955347958', 'usd': '29341.756177', 'eur': '24839.982709'}"
3,2020-08-06 11:00:00,"{'eth': '36.86197344670115', 'usd': '14584.498461', 'eur': '12356.864475999999'}"
4,2020-08-06 12:00:00,"{'eth': '109.22802481538679', 'usd': '43287.023695', 'eur': '36676.176742'}"
5,2020-08-06 13:00:00,"{'eth': '179.89517380157702', 'usd': '71843.50453', 'eur': '60793.994659'}"
6,2020-08-06 14:00:00,"{'eth': '183.3330358351843', 'usd': '72991.48992600001', 'eur': '61870.238192000004'}"
7,2020-08-06 15:00:00,"{'eth': '34.45061561628481', 'usd': '13753.258103', 'eur': '11649.5443'}"
8,2020-08-06 16:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
9,2020-08-06 17:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
10,2020-08-06 18:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
11,2020-08-06 19:00:00,"{'eth': '38.7378740971306', 'usd': '15368.461974', 'eur': '12978.422397'}"
12,2020-08-06 20:00:00,"{'eth': '50', 'usd': '19891.5', 'eur': '16797'}"
13,2020-08-06 21:00:00,"{'eth': '37.73018783451186', 'usd': '14977.429429', 'eur': '12647.506578'}"
14,2020-08-06 22:00:00,"{'eth': '24.558943677207445', 'usd': '9698.762663', 'eur': '8187.534549'}"
15,2020-08-06 23:00:00,"{'eth': '142.08000489947685', 'usd': '55833.109655', 'eur': '47153.373474'}"
16,2020-08-07 00:00:00,"{'eth': '254.49595682756967', 'usd': '100703.565982', 'eur': '85060.079303'}"
17,2020-08-07 01:00:00,"{'eth': '46.18028674077943', 'usd': '18278.619295', 'eur': '15449.153126'}"
18,2020-08-07 02:00:00,"{'eth': '105.7577383569408', 'usd': '42002.053513', 'eur': '35557.782311'}"
19,2020-08-07 03:00:00,"{'eth': '33.18451059635731', 'usd': '13171.141197', 'eur': '11153.424143'}"
20,2020-08-07 04:00:00,"{'eth': '32.22861131093237', 'usd': '12737.783328', 'eur': '10802.006076'}"
21,2020-08-07 05:00:00,"{'eth': '82.3516754665854', 'usd': '32484.663112000002', 'eur': '27526.573076'}"
22,2020-08-07 06:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
23,2020-08-07 07:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
24,2020-08-07 08:00:00,"{'eth': '15.146129380243424', 'usd': '5988.325173', 'eur': '5081.223484'}"
25,2020-08-07 09:00:00,"{'eth': '45.66709898194497', 'usd': '18110.191184', 'eur': '15374.265452'}"
26,2020-08-07 10:00:00,"{'eth': '78.89437963126684', 'usd': '31236.905267', 'eur': '26532.466379999998'}"
27,2020-08-07 11:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
28,2020-08-07 12:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
29,2020-08-07 13:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
30,2020-08-07 14:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
31,2020-08-07 15:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
32,2020-08-07 16:00:00,"{'eth': '128.19494149809506', 'usd': '49035.471972', 'eur': '41742.610129'}"
33,2020-08-07 17:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
34,2020-08-07 18:00:00,"{'eth': '23.924125527607146', 'usd': '8929.874843000001', 'eur': '7599.009558'}"
35,2020-08-07 19:00:00,"{'eth': '160.60919473708876', 'usd': '60346.807449', 'eur': '51304.551644'}"
36,2020-08-07 20:00:00,"{'eth': '15.146129380243424', 'usd': '5733.415816', 'eur': '4875.084664'}"
37,2020-08-07 21:00:00,"{'eth': '11.76939074175347', 'usd': '4467.425338', 'eur': '3796.805453'}"
38,2020-08-07 22:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
39,2020-08-07 23:00:00,"{'eth': '11.731455254453898', 'usd': '4477.661842', 'eur': '3806.85723'}"
40,2020-08-08 00:00:00,"{'eth': '20.4', 'usd': '7721.532', 'eur': '6554.328'}"
41,2020-08-08 01:00:00,"{'eth': '103.06153702110021', 'usd': '39366.363593999995', 'eur': '33442.913664'}"
42,2020-08-08 02:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
43,2020-08-08 03:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
44,2020-08-08 04:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
45,2020-08-08 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
46,2020-08-08 06:00:00,"{'eth': '59.24361718676562', 'usd': '22538.925085', 'eur': '19161.47018'}"
47,2020-08-08 07:00:00,"{'eth': '53.94795531937191', 'usd': '20565.56798', 'eur': '17446.005926'}"
48,2020-08-08 08:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
49,2020-08-08 09:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
50,2020-08-08 10:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
51,2020-08-08 11:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
52,2020-08-08 12:00:00,"{'eth': '16.700881419367963', 'usd': '6543.993171', 'eur': '5558.163641'}"
53,2020-08-08 13:00:00,"{'eth': '102.67418524436253', 'usd': '40100.934645', 'eur': '34061.32579'}"
54,2020-08-08 14:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
55,2020-08-08 15:00:00,"{'eth': '31.58687711462456', 'usd': '12385.286755000001', 'eur': '10515.218609'}"
56,2020-08-08 16:00:00,"{'eth': '732.7808604239916', 'usd': '284722.794744', 'eur': '242126.22943500002'}"
57,2020-08-08 17:00:00,"{'eth': '258.9262125618601', 'usd': '100912.043689', 'eur': '85833.826871'}"
58,2020-08-08 18:00:00,"{'eth': '977.6550575272095', 'usd': '382122.984859', 'eur': '325017.458377'}"
59,2020-08-08 19:00:00,"{'eth': '1149.536181632622', 'usd': '448570.657082', 'eur': '381663.563792'}"
60,2020-08-08 20:00:00,"{'eth': '1145.8766229783416', 'usd': '444672.863722', 'eur': '378256.814776'}"
61,2020-08-08 21:00:00,"{'eth': '367.81151191930394', 'usd': '143471.209659', 'eur': '122016.00606100001'}"
62,2020-08-08 22:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
63,2020-08-08 23:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
64,2020-08-09 00:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
65,2020-08-09 01:00:00,"{'eth': '120.1514044742123', 'usd': '47507.820839', 'eur': '40346.578459'}"
66,2020-08-09 02:00:00,"{'eth': '133.94416441503202', 'usd': '53087.132342', 'eur': '45086.094231'}"
67,2020-08-09 03:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
68,2020-08-09 04:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
69,2020-08-09 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
70,2020-08-09 06:00:00,"{'eth': '254.8926848680732', 'usd': '100322.972312', 'eur': '85261.874919'}"
71,2020-08-09 07:00:00,"{'eth': '285.975965690576', 'usd': '112688.059716', 'eur': '95776.01872200001'}"
72,2020-08-09 08:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
73,2020-08-09 09:00:00,"{'eth': '0.83006', 'usd': '324.287841', 'eur': '275.604822'}"
