"t","balances__bigone","balances__binance","balances__okex","balances__huobi","balances__gate.io","balances__kucoin","balances__coinex","balances__hitbtc","balances__bibox","balances__bithumb","balances__bittrex","balances__kraken","balances__poloniex","balances__gemini"
"2017-09-28T00:00:00Z","18199.9","1977386.31433475","","","","","","","","","","","",""
"2017-09-29T00:00:00Z","18694.9","9888764.7920497","","","","","","","","","","","",""
"2017-09-30T00:00:00Z","18694.9","13269000.1399842","","","","","","","","","","","",""
"2017-10-01T00:00:00Z","18694.9","12118460.9364351","","","","","","","","","","","",""
"2017-10-02T00:00:00Z","18694.9","14534287.1492428","","","","","","","","","","","",""
"2017-10-03T00:00:00Z","18694.9","13337699.0457948","","","","","","","","","","","",""
"2017-10-04T00:00:00Z","18694.9","18215079.5742941","","","","","","","","","","","",""
"2017-10-05T00:00:00Z","18694.9","16734059.3389128","","","","","","","","","","","",""
"2017-10-06T00:00:00Z","18694.9","16013686.7147697","","","","","","","","","","","",""
"2017-10-07T00:00:00Z","18694.9","14764674.596611","","","","","","","","","","","",""
"2017-10-08T00:00:00Z","18694.9","14033011.3021178","","","","","","","","","","","",""
"2017-10-09T00:00:00Z","18694.9","20341502.7818536","","","","","","","","","","","",""
"2017-10-10T00:00:00Z","18694.9","19285109.2060483","","","","","","","","","","","",""
"2017-10-11T00:00:00Z","23694.9","18474086.7751663","","","","","","","","","","","",""
"2017-10-12T00:00:00Z","23694.9","15816747.1989908","","","","","","","","","","","",""
"2017-10-13T00:00:00Z","23694.9","34613666.5012894","","","","","","","","","","","",""
"2017-10-14T00:00:00Z","23694.9","33880816.0557352","","","","","","","","","","","",""
"2017-10-15T00:00:00Z","23694.9","33363495.8697352","","","","","","","","","","","",""
"2017-10-16T00:00:00Z","23694.9","32380483.2708575","","","","","","","","","","","",""
"2017-10-17T00:00:00Z","23694.9","29894390.2144296","","","","","","","","","","","",""
"2017-10-18T00:00:00Z","23694.9","28072716.1889971","","","","","","","","","","","",""
"2017-10-19T00:00:00Z","28644.476","28307603.9060273","","","","","","","","","","","",""
"2017-10-20T00:00:00Z","28644.476","26012184.3661058","","","","","","","","","","","",""
"2017-10-21T00:00:00Z","29465.476","24405073.8100419","","","","","","","","","","","",""
"2017-10-22T00:00:00Z","29465.476","22593973.263776","","","","","","","","","","","",""
"2017-10-23T00:00:00Z","29465.476","17894237.8643056","","","","","","","","","","","",""
"2017-10-24T00:00:00Z","29465.476","21933046.5844464","","","","","","","","","","","",""
"2017-10-25T00:00:00Z","29465.476","20535680.2146473","","","","","","","","","","","",""
"2017-10-26T00:00:00Z","29465.476","19239251.1356768","","","","","","","","","","","",""
"2017-10-27T00:00:00Z","29465.476","17567992.5435687","","","","","","","","","","","",""
"2017-10-28T00:00:00Z","35471.459","16681106.4593776","","","","","","","","","","","",""
"2017-10-29T00:00:00Z","35971.459","16825954.4453276","","","","","","","","","","","",""
"2017-10-30T00:00:00Z","35971.459","15054684.3615032","","","","","","","","","","","",""
"2017-10-31T00:00:00Z","36271.459","13765438.7023929","","","","","","","","","","","",""
"2017-11-01T00:00:00Z","37729.459","12649211.2130225","","","","","","","","","","","",""
"2017-11-02T00:00:00Z","37729.459","10872840.4782907","","","","","","","","","","","",""
"2017-11-03T00:00:00Z","38229.459","9358630.47821804","","","","","","","","","","","",""
"2017-11-04T00:00:00Z","38236.459","8433648.58891804","","","","","","","","","","","",""
"2017-11-05T00:00:00Z","38236.459","7654960.61090551","","","","","","","","","","","",""
"2017-11-06T00:00:00Z","38236.459","8818204.20703633","","","","","","","","","","","",""
"2017-11-07T00:00:00Z","38236.459","8209962.08469183","","","","","","","","","","","",""
"2017-11-08T00:00:00Z","33287.459","10216936.1095788","","","","","","","","","","","",""
"2017-11-09T00:00:00Z","33374.375","8666054.54819065","","","","","","","","","","","",""
"2017-11-10T00:00:00Z","33374.375","15287921.6882127","","","","","","","","","","","",""
"2017-11-11T00:00:00Z","33374.375","14315509.9200269","","","","","","","","","","","",""
"2017-11-12T00:00:00Z","33374.375","14787394.7838056","","","","","","","","","","","",""
"2017-11-13T00:00:00Z","33374.375","13753756.7425152","","","","","","","","","","","",""
"2017-11-14T00:00:00Z","33374.375","12281396.9675152","","","","","","","","","","","",""
"2017-11-15T00:00:00Z","33374.375","11559440.2953825","","","","","","","","","","","",""
"2017-11-16T00:00:00Z","33374.375","10024895.5032149","","","","","","","","","","","",""
"2017-11-17T00:00:00Z","33374.375","14306514.8090425","","","","","","","","","","","",""
"2017-11-18T00:00:00Z","33374.375","11361662.8366134","","","","","","","","","","","",""
"2017-11-19T00:00:00Z","33374.375","9929430.70373072","","","","","","","","","","","",""
"2017-11-20T00:00:00Z","33374.375","10744228.3578997","","","","","","","","","","","",""
"2017-11-21T00:00:00Z","33374.375","8905558.21874892","","","","","","","","","","","",""
"2017-11-22T00:00:00Z","42811.915","10591948.443407","","","","","","","","","","","",""
"2017-11-23T00:00:00Z","42811.915","12282687.80436","","","","","","","","","","","",""
"2017-11-24T00:00:00Z","42811.915","10817672.2734342","","","","","","","","","","","",""
