"Date","[0 - 0.001) coins","[0.001 - 0.01) coins","[0.01 - 0.1) coins","[0.1 - 1) coins","[1 - 10) coins","[10 - 100) coins","[100 - 1,000) coins","[1,000 - 10,000) coins","[10,000 - 100,000) coins","[100,000  - 1,000,000) coins","[1,000,000 - 10,000,000) coins","[10,000,000 - infinity) coins"
"2018-07-31T00:00:00.000Z","865","121","161","482","531","2011","8078","7136","2548","357","31","9"
"2018-08-01T00:00:00.000Z","866","121","162","482","531","2011","8079","7135","2553","356","31","9"
"2018-08-02T00:00:00.000Z","864","121","162","485","532","2012","8084","7132","2551","355","31","9"
"2018-08-03T00:00:00.000Z","869","121","162","485","532","2014","8090","7124","2543","358","30","9"
"2018-08-04T00:00:00.000Z","869","121","163","484","532","2017","8091","7130","2541","357","30","9"
"2018-08-05T00:00:00.000Z","869","121","163","484","534","2017","8095","7132","2540","357","30","9"
"2018-08-06T00:00:00.000Z","869","121","162","486","535","2019","8095","7132","2536","359","31","9"
"2018-08-07T00:00:00.000Z","869","121","162","489","535","2020","8099","7132","2542","356","31","9"
"2018-08-08T00:00:00.000Z","870","121","162","489","534","2023","8097","7135","2543","357","32","9"
"2018-08-09T00:00:00.000Z","869","121","162","491","535","2024","8109","7117","2523","361","32","9"
"2018-08-10T00:00:00.000Z","870","121","162","493","535","2027","8119","7110","2515","362","32","9"
"2018-08-11T00:00:00.000Z","871","121","162","494","534","2027","8125","7103","2518","362","32","9"
"2018-08-12T00:00:00.000Z","870","122","162","494","536","2028","8129","7102","2519","361","32","9"
"2018-08-13T00:00:00.000Z","870","122","163","494","537","2027","8130","7106","2513","362","32","9"
"2018-08-14T00:00:00.000Z","869","122","164","494","535","2031","8137","7100","2507","361","33","9"
"2018-08-15T00:00:00.000Z","874","121","164","495","537","2031","8142","7096","2505","362","31","9"
"2018-08-16T00:00:00.000Z","874","121","164","495","537","2035","8149","7101","2500","363","31","9"
"2018-08-17T00:00:00.000Z","875","121","164","495","538","2037","8158","7104","2504","362","31","9"
"2018-08-18T00:00:00.000Z","875","121","164","493","538","2036","8158","7107","2506","362","31","9"
"2018-08-19T00:00:00.000Z","875","121","164","494","538","2041","8165","7104","2508","361","32","9"
"2018-08-20T00:00:00.000Z","876","122","164","493","538","2044","8166","7099","2513","362","31","9"
"2018-08-21T00:00:00.000Z","877","123","164","493","539","2047","8177","7101","2509","364","31","9"
"2018-08-22T00:00:00.000Z","877","123","164","494","539","2050","8183","7109","2511","365","30","9"
"2018-08-23T00:00:00.000Z","878","123","164","495","540","2052","8187","7117","2509","362","31","9"
"2018-08-24T00:00:00.000Z","879","123","165","495","541","2054","8193","7123","2515","363","31","9"
"2018-08-25T00:00:00.000Z","880","123","165","495","542","2055","8200","7127","2521","360","31","9"
"2018-08-26T00:00:00.000Z","881","123","165","494","543","2056","8198","7138","2522","360","31","9"
"2018-08-27T00:00:00.000Z","881","123","165","495","545","2057","8208","7143","2522","360","31","9"
"2018-08-28T00:00:00.000Z","881","123","166","495","548","2059","8208","7147","2523","358","31","9"
"2018-08-29T00:00:00.000Z","883","123","166","495","549","2060","8216","7141","2522","359","31","9"
"2018-08-30T00:00:00.000Z","885","123","167","497","550","2062","8214","7144","2526","358","31","9"
"2018-08-31T00:00:00.000Z","889","123","167","497","551","2065","8220","7131","2530","358","31","9"
"2018-09-01T00:00:00.000Z","889","123","167","498","552","2068","8229","7130","2531","356","31","9"
"2018-09-02T00:00:00.000Z","891","123","167","498","553","2068","8228","7126","2528","355","31","9"
"2018-09-03T00:00:00.000Z","891","123","167","498","553","2066","8230","7135","2528","355","31","9"
