"Date","[10,000,000 - infinity) coins","[1,000,000 - 10,000,000) coins","[100,000  - 1,000,000) coins","[10,000 - 100,000) coins","[1,000 - 10,000) coins","[100 - 1,000) coins","[10 - 100) coins","[1 - 10) coins","[0.1 - 1) coins","[0.01 - 0.1) coins","[0.001 - 0.01) coins","[0 - 0.001) coins"
"2015-07-16T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-07-23T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-07-30T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-08-06T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-08-13T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-08-20T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-08-27T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-09-03T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-09-10T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-09-17T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-09-24T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-10-01T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-10-08T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-10-15T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-10-22T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-10-29T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-11-05T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-11-12T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-11-19T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-11-26T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-03T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-10T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-17T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-24T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2015-12-31T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-07T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-14T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-21T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-01-28T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-02-04T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-02-11T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-02-18T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-02-25T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-03-03T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-03-10T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-03-17T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-03-24T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-03-31T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-04-07T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-04-14T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-04-21T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-04-28T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-05-05T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-05-12T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-05-19T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-05-26T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-06-02T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-06-09T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-06-16T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-06-23T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-06-30T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-07-07T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-07-14T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-07-21T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-07-28T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-08-04T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-08-11T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-08-18T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-08-25T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-09-01T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-09-08T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-09-15T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-09-22T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-09-29T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-10-06T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-10-13T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-10-20T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-10-27T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-11-03T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-11-10T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-11-17T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-11-24T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-12-01T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-12-08T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-12-15T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-12-22T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2016-12-29T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-05T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-12T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-19T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-26T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-02-02T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-02-09T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-02-16T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-02-23T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-03-02T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-03-09T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-03-16T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-03-23T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-03-30T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-04-06T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-04-13T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-04-20T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-04-27T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-05-04T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-05-11T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-05-18T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-05-25T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-06-01T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-06-08T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-06-15T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-06-22T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-06-29T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-07-06T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-07-13T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-07-20T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-07-27T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-08-03T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-08-10T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-08-17T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-08-24T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-08-31T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-09-07T00:00:00.000Z","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-09-14T00:00:00.000Z","6","5.142857142857143","59","260","140.57142857142858","23.571428571428573","4.285714285714286","2.5714285714285716","1.8571428571428572","1","0","2.7142857142857144"
"2017-09-21T00:00:00.000Z","9","34.285714285714285","490.7142857142857","2127.5714285714284","1671.4285714285713","404","70.42857142857143","42.42857142857143","35.857142857142854","13.428571428571429","8.428571428571429","42.57142857142857"
"2017-09-28T00:00:00.000Z","8.857142857142858","32.142857142857146","528.7142857142857","2660.8571428571427","2787.285714285714","872.1428571428571","176.42857142857142","93.14285714285714","90.14285714285714","38","14.571428571428571","86.42857142857143"
"2017-10-05T00:00:00.000Z","8","32.42857142857143","530.4285714285714","2939.8571428571427","3587.1428571428573","1441.142857142857","302.2857142857143","134.57142857142858","124.28571428571429","49.714285714285715","20.285714285714285","116.85714285714286"
"2017-10-12T00:00:00.000Z","8.857142857142858","28.857142857142858","495.2857142857143","3102.714285714286","4112.857142857143","1816","387.2857142857143","166","150.28571428571428","57.57142857142857","23.285714285714285","136.14285714285714"
"2017-10-19T00:00:00.000Z","8.428571428571429","30.285714285714285","520.7142857142857","3309.5714285714284","4591.142857142857","2152.4285714285716","452.2857142857143","199.85714285714286","170.71428571428572","67.71428571428571","28.571428571428573","154.85714285714286"
"2017-10-26T00:00:00.000Z","8.571428571428571","27.571428571428573","535.2857142857143","3460.1428571428573","4961","2347.714285714286","502","228.42857142857142","187.85714285714286","72","32","166.57142857142858"
"2017-11-02T00:00:00.000Z","8","28","544.4285714285714","3548.4285714285716","5166.285714285715","2442","516.7142857142857","238.14285714285714","205.42857142857142","76.85714285714286","36.285714285714285","183"
"2017-11-09T00:00:00.000Z","8.285714285714286","28.142857142857142","547.7142857142857","3662","5379.142857142857","2565","538.1428571428571","256","214.85714285714286","77.71428571428571","41.857142857142854","203.57142857142858"
"2017-11-16T00:00:00.000Z","8","26.571428571428573","562.5714285714286","3774.5714285714284","5572.714285714285","2674.4285714285716","558","266","226.85714285714286","79.57142857142857","47","224.28571428571428"
"2017-11-23T00:00:00.000Z","8","24.428571428571427","583.1428571428571","3884.714285714286","5743.571428571428","2771.4285714285716","582.7142857142857","277","245.14285714285714","81.57142857142857","47.714285714285715","238.85714285714286"
"2017-11-30T00:00:00.000Z","8.571428571428571","24.142857142857142","476.57142857142856","3922.714285714286","5929","2880.714285714286","613.4285714285714","289.14285714285717","256.85714285714283","86.57142857142857","48","257"
"2017-12-07T00:00:00.000Z","9.142857142857142","24.428571428571427","349.2857142857143","2532.8571428571427","4723","3064.5714285714284","680.7142857142857","296.14285714285717","274.14285714285717","89","49.142857142857146","293.42857142857144"
"2017-12-14T00:00:00.000Z","9","25.714285714285715","330.2857142857143","2085.285714285714","4479.714285714285","3340.5714285714284","751.8571428571429","306.85714285714283","294.85714285714283","101","58.285714285714285","346.2857142857143"
"2017-12-21T00:00:00.000Z","9","25.571428571428573","319.14285714285717","2091.5714285714284","4722.571428571428","3721.714285714286","854.7142857142857","319.7142857142857","309.2857142857143","108.28571428571429","68.42857142857143","403.2857142857143"
"2017-12-28T00:00:00.000Z","9","27","321.42857142857144","2166.714285714286","4972","4099.714285714285","967.5714285714286","328.42857142857144","317","112","72","433.85714285714283"
"2018-01-04T00:00:00.000Z","9","28.142857142857142","322.7142857142857","2261.285714285714","5525","4793.142857142857","1133.2857142857142","339.7142857142857","334.42857142857144","116.14285714285714","78.71428571428571","442.2857142857143"
"2018-01-11T00:00:00.000Z","9","30.714285714285715","327","2334","5942.714285714285","5404","1297.7142857142858","355.57142857142856","349","116.85714285714286","81.42857142857143","462.14285714285717"
"2018-01-18T00:00:00.000Z","9","30.428571428571427","326.42857142857144","2364.285714285714","6154","5810","1385.857142857143","372.57142857142856","360.2857142857143","117.28571428571429","82.14285714285714","487.2857142857143"
"2018-01-25T00:00:00.000Z","9","29","330.85714285714283","2366.1428571428573","6272.714285714285","6090.428571428572","1454.7142857142858","389.7142857142857","369.2857142857143","119.14285714285714","83.28571428571429","514.5714285714286"
"2018-02-01T00:00:00.000Z","9","29.428571428571427","335.2857142857143","2375.5714285714284","6377.714285714285","6291.428571428572","1492.142857142857","400.14285714285717","380.42857142857144","119.71428571428571","86","526.2857142857143"
