datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volumefrom_LINK_uniswap,volumeto_ETH_uniswap,tradeCount_0x,tradeVolume.token_0x,tradeVolume.USD_0x,volume.eth_bancor,volume.usd_bancor,Sum_volfrom_Link_dex,Sum_volfrom_Link_dex_usd
2020-07-31,7.41809072359,7.77291238,7.83040389858,7.41809072,1179,26,34,22661,168348,463,160083,23840,345389.23113920004
2020-07-30,7.10793748662,7.41699155,7.5508303044,7.04704044,1135,25,37,11485,77135,0,0,12620,93602.43336099999
2020-07-29,7.22037702782,7.11608294,7.46813984611,7.03734297,934,21,48,12746,88194,0,0,13680,97348.0146192
2020-07-28,7.0934177588,7.22346045,7.3851379999999995,6.9516292888999995,2044,46,27,13449,95996,0,0,15493,111913.07275185
2020-07-27,7.46709871924,7.0955831,7.46709872,6.58350803,8342,182,71,51175,348488,0,0,59517,422307.8193627
2020-07-26,7.65083733622,7.49900484,7.8969572,7.33824252,5458,133,72,30980,230414,0,0,36438,273248.73835992
2020-07-25,7.43127513663,7.65782354,7.76949217,7.41186116,8623,229,45,15195,116378,0,0,23818,182394.04107572
2020-07-24,7.8773307826,7.43215277,7.89611572,7.40788751562,4381,119,49,30831,235107,0,0,35212,261700.96333724
2020-07-23,7.45227539659,7.87447715,8.03155887,7.42285043,6049,176,42,36484,283125,0,0,42533,334925.13662095
2020-07-22,7.282578224,7.46697514,7.58905961,7.1022777,9231,270,37,21502,159471,0,0,30733,229482.54697762
2020-07-21,7.25339976083,7.28157682,7.64057181,7.06152983,5673,169,57,34844,255836,0,0,40517,295027.64801594
2020-07-20,8.06967209239,7.2729828,8.10698072,7.24471013,6188,199,48,28296,215814,0,0,34484,250801.5388752
2020-07-19,7.95204586754,8.06518999,8.1670286,7.80819312728,3333,112,38,19109,150242,0,0,22442,180998.99375558
2020-07-18,8.2688150295,7.95927977,8.2688150295,7.79344958,6986,238,51,26504,209888,0,0,33490,266556.2794973
2020-07-17,8.37644648,8.28039298,8.55090935858,8.21657201,2316,82,51,17704,147358,0,0,20020,165773.4674596
2020-07-16,8.64042980967,8.33770628,8.75488067,8.05315886,4868,174,80,59338,489355,0,0,64206,535330.7694136801
2020-07-15,8.09608379979,8.64312279,8.74196262203,7.8641148265,11310,395,102,43960,362443,0,0,55270,477705.3966033
2020-07-14,7.17394195655,8.10346502,8.25062985599,7.0424549,9745,312,85,25387,186843,0,0,35132,284690.93308264
2020-07-13,7.30674115179,7.18229114,8.23371698596,6.97627090282,25892,844,148,60928,403471,0,0,86820,623566.5167748
2020-07-12,6.11008289997,7.30918344,7.30918344,6.11008289997,13169,374,120,50928,307912,0,0,64097,468496.73095368
2020-07-11,6.15327014,6.11968689,6.2406913212,6.00269083692,6138,159,44,13622,84391,0,0,19760,120925.01294639999
2020-07-10,6.10614182,6.13847502,6.16894717,5.75206929,4079,101,34,6370,37972,0,0,10449,64140.92548398
2020-07-09,6.46751011,6.10431068,6.46751011,5.79993741,8567,215,56,23625,145106,0,0,32192,196509.96941056
2020-07-08,5.72093901,6.47572487,6.4915921593,5.63768097,14721,374,95,48000,284526,0,0,62721,406163.93957126996
2020-07-07,5.34443142,5.7128167,5.85658084465,5.32995469,17636,424,88,48816,168207,0,0,66452,379628.0953484
2020-07-06,4.74269169477,5.36505325,5.38531604759,4.7379093152100005,11234,243,54,31601,148837,0,0,42835,229812.05596375
2020-07-05,4.79695295404,4.74216976,4.83525702943,4.64728236872,4128,85,36,11977,56112,0,0,16105,76372.6439848
2020-07-04,4.73928683,4.80455775,4.84911284491,4.72237174,2410,50,17,6097,28719,0,0,8507,40872.37277925
2020-07-03,4.84085989,4.74328060203,4.90664120957,4.73416852,6213,131,22,7539,36384,0,0,13752,65229.59483911655
2020-07-02,4.71490258,4.84500392137,4.9126227700000005,4.67060767,3678,77,31,11402,54534,0,0,15080,73062.65913425961
2020-07-01,4.57802087595,4.70151175404,4.74047925337,4.53105401688,2525,51,25,16301,76626,0,0,18826,88510.66028155704
2020-06-30,4.61960753,4.56918885,4.66807193,4.55408562,4340,87,26,9140,42323,0,0,13480,61592.665698
2020-06-29,4.56697561013,4.61792962,4.652367,4.4487809,9366,187,32,7710,35141,0,0,17076,78855.76619112
2020-06-28,4.42982121137,4.5634833,4.62665502,4.38685512,6269,126,27,3724,16758,0,0,9993,45602.888616899996
2020-06-27,4.67732008,4.42655159,4.6948411100000005,4.37335033504,16171,323,33,8111,36427,0,0,24282,107485.52570838
2020-06-26,4.81128474,4.68080532,4.85655816,4.66336549267,6406,131,35,7166,33830,0,0,13572,63527.88980304
2020-06-25,4.71401348347,4.81104667727,4.82443074465,4.5473699199999995,14466,288,35,15746,74909,0,0,30212,145351.34221368126
2020-06-24,4.81640089,4.71901691,4.93388413816,4.54730573203,20204,401,21,7218,34131,0,0,27422,129404.88170602
2020-06-23,4.46826719035,4.80625153,4.94150621361,4.40752135,17411,341,39,10462,50115,0,0,27873,133964.64889568998
2020-06-22,4.18572873,4.46793424,4.47036069,4.18572873,12453,228,23,10978,47797,0,0,23431,104688.16717744
2020-06-21,4.19132400774,4.18914952,4.20981561,4.15377113,15275,277,19,4093,17106,0,0,19368,81135.44790336
2020-06-20,4.07730494004,4.17076968,4.21130474,4.05273184,9122,164,13,2771,11448,0,0,11893,49602.963804240004
2020-06-19,4.16674842354,4.07996193,4.18811189,4.05409127913,7592,134,6,1826,7501,0,0,9418,38425.081456739994
2020-06-18,4.1636517987,4.16898037,4.23352500195,4.11867419067,7345,131,7,1099,4556,0,0,8444,35202.87024428
2020-06-17,4.04811694877,4.1636694,4.17007241,3.99664194,12738,222,10,5270,21557,0,0,18008,74979.3585552
2020-06-16,3.9300500832700003,4.04871403,4.08400385726,3.90378326286,7482,127,8,5823,23272,0,0,13305,53868.14016915
2020-06-15,3.95715111791,3.9339029500000002,3.99321134,3.67960051,14366,242,9,1248,4120,0,0,15614,61423.96066130001
2020-06-14,4.11649954,3.95501319,4.11649954,3.95501319,19096,329,15,9109,36673,0,0,28205,111551.14702394999
2020-06-13,4.09285566372,4.11465273,4.12062192,4.02268851,3913,67,12,967,3923,0,0,4880,20079.5053224
2020-06-12,3.9431944,4.09094191,4.17523684,3.8959690399999998,11986,207,9,5728,23573,0,0,17714,72466.94499373999
2020-06-11,4.42334897299,3.97633543109,4.45502228,3.93839159282,33357,574,9,11568,49483,0,0,44925,178636.86924171823
2020-06-10,4.45134749,4.42030134,4.45134749,4.33941596,13995,251,5,1124,4939,0,0,15119,66830.53595946
2020-06-09,4.46987796,4.45014881,4.48320132,4.38717731,23030,426,22,6124,27277,0,0,29154,129739.63840673999
2020-06-08,4.35048984726,4.45924294493,4.45924294493,4.32946349237,8677,156,13,3736,16430,0,0,12413,55352.58267541609
2020-06-07,4.34444193,4.34993312,4.40047713462,4.24173593,18704,335,15,2653,11365,0,0,21357,92901.52164384001
2020-06-06,4.36855328006,4.34262346,4.40237788,4.33100217,40869,747,12,3292,14323,0,0,44161,191774.59461706
2020-06-05,4.43271578807,4.37743734,4.48698497,4.35922737,31763,580,14,1597,7051,0,0,33360,146031.30966240002
2020-06-04,4.48903096,4.43301963,4.50538519006,4.31883181,44312,805,16,1747,7727,0,0,46059,204180.45113817003
2020-06-03,4.39026969,4.49072943,4.53417709,4.32145870292,18961,348,18,5423,24224,0,0,24384,109501.94642112
2020-06-02,4.38490707433,4.38683383,4.60659893,4.2405902,16521,302,21,6072,25918,0,0,22593,99111.73672119
2020-06-01,4.12817134,4.38064232,4.46565385,4.12817134,17196,312,14,4151,18143,0,0,21347,93513.57160504
2020-05-31,4.16902652738,4.13230192235,4.25689880786,4.06385286,15621,274,7,4650,19761,0,0,20271,83765.89226795685
2020-05-30,3.98716450281,4.16844942,4.16844942,3.94850095,25965,450,12,7734,30929,0,0,33699,140472.57700458
2020-05-29,4.03249261,3.98659426,4.09937468,3.95908368,15960,290,12,3309,13457,0,0,19269,76817.68479594
2020-05-28,3.85491741,4.02535056,4.03584621,3.84106961,6665,122,8,3310,12905,0,0,9975,40152.871836
2020-05-27,3.83863668,3.85770281,3.91905376,3.8173388932,5327,100,6,560,2177,0,0,5887,22710.29644247
2020-05-26,3.8672338917999998,3.83627742,3.87974646327,3.78855217,7060,133,11,3245,12403,0,0,10305,39532.8388131
2020-05-25,3.81395312169,3.86993336,3.89876811,3.8051413800000002,8506,161,29,7167,26079,0,0,15673,60653.46555128
2020-05-24,3.94296433,3.83632223,4.02209859,3.83632223,13867,263,10,4756,18319,0,0,18623,71443.82888929
2020-05-23,4.06973866,3.95506071,4.09715039081,3.92633037082,10965,210,21,2235,8626,0,0,13200,52206.801372
2020-05-22,3.84413826771,4.07028234,4.11873365,3.81526763,18914,369,28,6694,23091,0,0,25608,104231.79016272
2020-05-21,4.07593239803,3.84775124,4.14801283446,3.77031165129,30706,602,20,4937,19433,0,0,35643,137145.39744732
2020-05-20,3.9223258147599998,4.07104932,4.11809213,3.9223258147599998,27786,531,32,5426,20633,0,0,33212,135207.69001584
2020-05-19,3.88831112855,3.92247645,3.92247645,3.79507218,32583,591,18,1662,6189,0,0,34245,134325.20603025
2020-05-18,3.78227615,3.88534597,3.94051241208,3.78227615,43213,788,16,4364,16921,0,0,47577,184853.10521469
2020-05-17,3.75984375178,3.78432946,3.83857698,3.7573041664,64986,1211,21,2590,9846,0,0,67576,255729.84758896
2020-05-16,3.6709102099999997,3.76009466,3.78424778,3.6301544416500002,36977,687,18,2598,9474,0,0,39575,148805.7461695
2020-05-15,3.8006485026,3.6746531300000003,3.83719168608,3.65057683809,42920,813,14,614,2293,0,0,43534,159972.34936142
2020-05-14,3.7609757374,3.79938705,3.8485541127,3.70460063,61703,1187,20,5480,20837,0,0,67183,255254.22018015
2020-05-13,3.6884590213,3.76042427,3.80093098925,3.66845049,21524,412,17,4043,15044,0,0,25567,96142.76731109
2020-05-12,3.57815839592,3.69237351,3.79063417599,3.55962867,37128,726,29,6605,24544,0,0,43733,161478.57071283
2020-05-11,3.76091401115,3.58506515,3.82283441,3.41385008,57862,1148,23,4951,17728,0,0,62813,225188.69726695
2020-05-10,4.02521455,3.7613252900000003,4.02521455,3.60076326,74472,1454,24,6161,23203,0,0,80633,303286.94210857
2020-05-09,3.81857399955,4.0373559153,4.17484367,3.80137634956,105182,2013,42,10311,41887,0,0,115493,466286.3467257429
2020-05-08,3.7530157919400002,3.82210863,3.8549659849199998,3.7067946000000003,31830,566,17,1736,6616,0,0,33566,128292.89827457999
2020-05-07,3.63766006375,3.75401776,3.83007572241,3.57810007,50714,893,25,4864,17835,0,0,55578,208640.79906528
2020-05-06,3.68529700307,3.63645775,3.76397113158,3.63645775,17460,312,25,5646,21030,0,0,23106,84023.9927715
2020-05-05,3.78477347,3.68769293,3.80062749384,3.67852784608,18903,343,16,2744,10292,0,0,21647,79827.48885570999
2020-05-04,3.72001441573,3.76790041,3.82200674,3.54010604,36538,659,31,9009,32790,0,0,45547,171616.55997427
2020-05-03,3.8244166842,3.72216936,3.86686058,3.66834497,27522,485,30,5779,21798,0,0,33301,123951.96185736
2020-05-02,3.78399418508,3.82218269,3.86751878745,3.76922017,17172,305,25,5695,21692,0,0,22867,87401.85157222999
2020-05-01,3.71909949407,3.7831845,3.91173129044,3.71909949407,39618,714,35,8092,31184,0,0,47710,180495.732495
2020-04-30,3.9028544156700002,3.72047673,3.95999549,3.68666416879,35831,632,35,13167,50692,0,0,48998,182295.91881654
2020-04-29,3.67072969018,3.90606859,3.96384497198,3.64783468,24824,449,35,13609,51229,0,0,38433,150121.93411946998
2020-04-28,3.64549393661,3.67532463,3.73389607,3.59882366501,478,8,43,9183,33646,0,0,9661,35507.31125043
2020-04-27,3.72262392807,3.64189852,3.74260983,3.49839591,0,0,28,4805,17350,0,0,4805,17499.322388599998
2020-04-26,3.8023792800000003,3.7167778399999998,3.83033726664,3.69888869,0,0,36,8715,32533,0,0,8715,32391.7188756
2020-04-25,3.8005342,3.80308828,3.88645547155,3.77848826384,0,0,35,3584,13737,0,0,3584,13630.26839552
2020-04-24,3.7377068247,3.80456256161,3.89238388422,3.7377068247,0,0,39,6462,24761,0,0,6462,24585.08327312382
2020-04-23,3.67874417989,3.72501039,3.8186437965,3.63549736511,0,0,42,5526,20574,0,0,5526,20584.407415140002
2020-04-22,3.47786500085,3.67881461,3.69372671646,3.46297448,0,0,23,6857,24891,0,0,6857,25225.63178077
