datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap,chainlink_daily_active_addresses,new_unique_add,real.vol,Price,Daily Active Deposits,Transaction Volume,Amount held by top addresses,Amount held by top exchange addresses,Amount held by top non-exchange addresses,Age Consumed,Velocity,Coin Supply on Exchanges,Coin Supply on Exchanges (as % of total supply),Coin Supply outside of Exchanges,Exchange Inflow,Exchange Outflow,Exchange Flow Balance,balance_0xe0362,balance_0x75398,balance_0x5560d,balance_0xdad22,balance_0xbe697,balance_0xf37c3,balance_nodeops,Total_supply,Sum_treasury,Circulating_supply,Amount held by top addresses (% total supply),Amount held by top addresses (% circulating supply )
2018-07-31,0.313723,0.293934,0.313723,0.2637744046,2272300,102876899,149,29,2807655,0.275888,41,1524620,761042408,115772720,654867127,87011766,1.917392259340428,126457113,12.64571137041785,873542886,689744,-274958,414785,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.761042408,0.3442609296574207
2018-08-01,0.2954334321,0.28728,0.308805,0.26952,1546730,100548000,146,34,2009711,0.280717,35,761610,761301198,116031510,654867127,18598929,1.6135010525369835,126391020,12.639102059883271,873608979,334044,-238747,95297,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.761301198,0.3449710921284836
2018-08-02,0.28738491590000004,0.30958,0.317333,0.28738491590000004,1954190,108353000,174,42,2527742,0.302584,55,795616,761712807,116443119,654867127,28270094,1.7215720112187556,126473712,12.647371202047346,873526287,280085,-379255,-99169,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.761712807,0.3461006151570076
2018-08-03,0.3101528435,0.2848797938,1.6147938512,0.2742459798,1460135,99707928,138,33,1446051,0.280646,39,801698,761931141,116661454,654867127,35242960,1.7454778394311936,126508948,12.650894846507454,873491051,400137,-194398,205738,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.761931141,0.3466997596871558
2018-08-04,0.2850812949,0.257989,0.286994,0.2485266828,1284510,90296150,89,22,1318210,0.283365675,22,625364,762821941,117552254,654867127,9657984,2.0720174313063686,126978401,12.697840187313457,873021598,280985,-315366,-34380,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.762821941,0.3491442619060313
2018-08-05,0.2568471167,0.253947,0.257437,0.242065,866923,88881449,68,20,840667,0.251037,13,629311,763002643,117732956,654867127,16955058,1.9701313507685303,126900534,12.690053449723857,873099465,245080,-279963,-34882,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.763002643,0.3496401380173417
2018-08-06,0.2542494263,0.236471,0.25961225190000004,0.2332442442,723640,82764850,87,18,725639,0.251732,21,300894,761431540,116161852,654867127,15648561,1.1552320281238162,126732843,12.67328431598279,873267156,96735,-143156,-46421,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.76143154,0.34532877208830925
2018-08-07,0.23516202790000001,0.233997,0.2591554815,0.232132,1039530,81898950,94,23,1040110,0.254008,20,835672,762419960,117150272,654867127,55464087,1.992611142565056,127480101,12.748010130478553,872519898,336374,-210825,125548,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.76241996,0.3480411596985259
2018-08-08,0.23416075520000001,0.22804,0.2365136142,0.220033,996081,79814000,128,27,1020282,0.23019499999999998,37,584737,762183883,116914195,654867127,12506397,1.4689567676544697,126943169,12.694316957100284,873056830,92318,-414202,-321884,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.762183883,0.34739332544804824
2018-08-09,0.22809600570000002,0.276128,0.300537,0.22809600570000002,5960760,96644800,260,66,5834651,0.26976300000000003,85,3418048,760056738,114787051,654867127,97056149,1.4031143159100112,126498887,12.649888788428195,873501112,327331,-953062,-625730,50000000,50000000,50000000,50000000,50000000,35590421,350000010,1000000000,285590421,364409569,0.760056738,0.3415560885010679
