timestamp,bzx_earn_apr,bzx_borrow_apr,bzx_link_col_ratio,bzx_link_outst_debt,bzx_link_supp_vol
2019-08-07,0.0,1.0,17.0712,0.0,8108.6975
2019-08-08,0.0,1.0,17.0712,0.0,8108.6975
2019-08-09,0.0,1.0,17.0712,0.0,8108.6975
2019-08-10,0.0,1.0,17.0712,0.0,8108.6975
2019-08-11,0.0,1.0,17.0712,0.0,8108.6975
2019-08-12,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-13,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-14,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-15,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-16,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-17,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-18,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-19,0.0021,1.0448,19.5661,16.4479,8108.6990000000005
2019-08-20,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-21,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-22,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-23,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-24,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-25,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-26,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-27,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-28,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-29,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-30,0.131,2.2752,81.0077,466.7765,8109.0822
2019-08-31,0.131,2.2752,81.0077,466.7765,8109.0822
2019-09-01,0.131,2.2752,81.0077,466.7765,8109.0822
2019-09-02,0.0,1.0,38.5884,0.0,8109.186
2019-09-03,0.0,1.0,38.5884,0.0,8109.186
2019-09-04,0.0,1.0,38.5884,0.0,8109.186
2019-09-05,0.0,1.0,38.5884,0.0,8109.186
2019-09-06,0.0,1.0,38.5884,0.0,8109.186
2019-09-07,0.0,1.0,38.5884,0.0,8109.186
2019-09-08,0.0,1.0,2.0402,0.0,8109.186
2019-09-09,0.0,1.0,2.0402,0.0,8109.186
2019-09-10,0.0,1.0,2.0402,0.0,8109.186
2019-09-11,0.0,1.0,2.0402,0.0,8109.186
2019-09-12,0.0,1.0,2.0402,0.0,8109.186
2019-09-13,0.0,1.0,2.0402,0.0,8109.186
2019-09-14,0.0,1.0,2.0402,0.0,8109.186
2019-09-15,0.0,1.0,2.0402,0.0,8109.186
2019-09-16,0.0,1.0,2.0402,0.0,8109.186
2019-09-17,0.0,1.0,2.0402,0.0,8109.186
2019-09-18,0.0,1.0,2.0402,0.0,8109.186
2019-09-19,0.0,1.0,2.0402,0.0,8109.186
2019-09-20,0.0,1.0,2.0402,0.0,8109.186
2019-09-21,0.0,1.0,2.0402,0.0,8109.186
2019-09-22,0.0,1.0,2.0402,0.0,8109.186
2019-09-23,0.0,1.0,2.0402,0.0,8109.186
2019-09-24,0.0,1.0,2.0402,0.0,8109.186
2019-09-25,0.0,1.0,2.0402,0.0,8109.186
2019-09-26,0.0,1.0,2.0402,0.0,8109.186
2019-09-27,0.0,1.0,2.0402,0.0,8109.186
2019-09-28,0.0,1.0,2.0402,0.0,8109.186
2019-09-29,0.0,1.0,2.0402,0.0,8109.186
2019-09-30,0.0,1.0,2.0402,0.0,8109.186
2019-10-01,0.0,1.0,2.0402,0.0,8109.186
2019-10-02,0.0,1.0,2.0402,0.0,8109.186
2019-10-03,0.0,8.0,2.5659,0.0,8109.186
2019-10-04,0.0,8.0,2.5659,0.0,8109.186
2019-10-05,0.0,8.0,2.5659,0.0,8109.186
2019-10-06,0.0,8.0,2.5659,0.0,8109.186
2019-10-07,0.0,8.0,2.5659,0.0,8109.186
2019-10-08,0.0,8.0,2.5659,0.0,8109.186
2019-10-09,0.0,8.0,2.5659,0.0,8109.186
2019-10-10,0.0,8.0,2.5659,0.0,8109.186
2019-10-11,0.0,8.0,2.5659,0.0,8109.186
2019-10-12,0.0,8.0,2.5659,0.0,8109.186
2019-10-13,0.0,8.0,2.5659,0.0,8109.186
2019-10-14,0.0,8.0,2.5659,0.0,8109.186
2019-10-15,0.0,8.0,2.5659,0.0,8109.186
2019-10-16,0.0,8.0,2.5659,0.0,8109.186
2019-10-17,0.0,8.0,2.5659,0.0,8109.186
2019-10-18,0.0,8.0,2.5659,0.0,8109.186
2019-10-19,0.0,8.0,2.5659,0.0,8109.186
2019-10-20,0.0,8.0,2.5659,0.0,8109.186
2019-10-21,0.0,8.0,2.5659,0.0,8109.186
2019-10-22,0.0,8.0,2.5659,0.0,8109.186
2019-10-23,0.0,8.0,2.5659,0.0,8109.186
2019-10-24,0.0,8.0,2.5659,0.0,8109.186
2019-10-25,0.0,8.0,2.5659,0.0,8109.186
2019-10-26,0.0,8.0,2.5659,0.0,8109.186
2019-10-27,0.0,8.0,2.5659,0.0,8109.186
2019-10-28,0.0,8.0,2.5659,0.0,8109.186
2019-10-29,0.0,8.0,2.5659,0.0,8109.186
2019-10-30,0.0,8.0,2.5659,0.0,8109.186
2019-10-31,0.0,8.0,2.5659,0.0,8109.186
2019-11-01,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-02,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-03,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-04,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-05,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-06,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-07,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-08,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-09,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-10,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-11,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-12,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-13,0.003,8.0057,1.8783,10.0629,8369.4059
2019-11-14,0.049,8.0339,2.1036,60.1117,8432.9782
2019-11-15,0.0662,8.0428,2.0423,76.0566,8433.0052
2019-11-16,0.0662,8.0428,2.0423,76.0566,8433.0052
2019-11-17,0.0662,8.0428,2.0423,76.0566,8433.0052
2019-11-18,0.0662,8.0428,2.0423,76.0566,8433.0052
2019-11-19,0.0581,8.0404,1.896,77.7027,9131.143
2019-11-20,0.0581,8.0404,1.9535,77.7027,9131.157
2019-11-21,0.7478,8.4267,2.0055,820.2296,9131.1664
2019-11-22,0.2609,8.3988,2.0596,9688.188,115383.0641
2019-11-23,0.0007,8.0014,1.8123,10.3773,35301.7526
2019-11-24,0.0007,8.0014,2.0752,10.3773,35062.0993
2019-11-25,0.0007,8.0014,2.2097,10.3773,35062.0997
2019-11-26,0.001,8.0016,2.3151,10.3773,30061.7129
2019-11-27,0.0009,8.0017,2.2211,10.3773,29784.5156
2019-11-28,0.0009,8.0017,2.1112,10.3773,29873.9163
2019-11-29,0.0081,8.005,2.1276,10.3773,9800.6964
2019-11-30,0.0081,8.005,2.1048,10.3773,9800.6972
2019-12-01,0.0081,8.005,2.1079,10.3773,9800.6979
2019-12-02,0.0081,8.005,2.1079,10.3773,9800.6979
2019-12-03,0.0037,8.0052,2.0508,10.3773,9551.1564
2019-12-04,0.0141,8.0275,2.2816,56.8176,9811.8912
2019-12-05,0.0156,8.0297,2.2632,61.4133,9811.895
2019-12-06,0.0236,8.0448,2.1948,92.5579,9811.8995
2019-12-07,0.098,8.1912,2.1694,405.5993,10074.4191
2019-12-08,0.098,8.1912,2.1590000000000003,405.5993,10074.445
2019-12-09,0.098,8.1912,2.1898,405.5993,10074.4692
2019-12-10,0.0948,8.1802,2.6729,382.1135,10074.4928
2019-12-11,0.0948,8.1802,2.5993,382.1135,10074.5164
2019-12-12,0.0504,8.1313,2.5846,382.1135,13824.542
2019-12-13,0.4734,8.3606,2.6033,1071.4703,14112.3607
2019-12-14,0.4734,8.3606,2.6392,1071.4703,14112.5254
2019-12-15,0.4734,8.3606,2.6335,1071.4703,14112.6901
2019-12-16,0.4734,8.3606,2.6909,1071.4703,14112.8548
2019-12-17,0.4734,8.3606,2.5653,1071.4703,14113.0196
2019-12-18,0.4482,8.3509,2.8858,1071.4703,14503.8385
2019-12-19,0.4592,8.3471,2.7161,1096.8247,15008.6834
2019-12-20,0.4592,8.3471,2.9002,1096.8247,15008.8534
2019-12-21,0.0688,8.1344,3.3368,1096.8247,38769.2137
2019-12-22,0.0688,8.1344,3.1377,1096.8247,38769.3836
2019-12-23,0.0688,8.1344,3.4701,1096.8247,38769.5536
2019-12-24,0.0688,8.1344,3.5769,1096.8247,38769.7236
2019-12-25,0.0688,8.1344,3.35,1096.8247,38769.8934
2019-12-26,0.1776,8.1343,3.4021,1096.4198,38770.0635
2019-12-27,0.1776,8.1343,3.4965,1096.4198,38770.2333
2019-12-28,0.1776,8.1343,3.5921,1096.4198,38770.4029
2019-12-29,0.1823,8.1361,3.636,1096.4198,38265.866
2019-12-30,0.1705,8.1095,3.6553,882.3482,38266.0343
2019-12-31,0.0126,8.0082,3.6809,66.4466,38266.074
2020-01-01,0.0126,8.0082,3.4251,66.4466,38406.0861
2020-01-02,0.0125,8.0082,3.2194,66.4466,38506.0981
2020-01-03,0.0126,8.0082,3.1815,66.6487,38406.1922
