timestamp,aave_earn_apr,aave_borrow_apr,aave_link_col_ratio,aave_link_outst_debt,aave_link_supp_vol,bzx_earn_apr,bzx_borrow_apr,bzx_link_col_ratio,bzx_link_outst_debt,bzx_link_supp_vol
2020-01-09,0.0,0.0,235.745,0.0004,544.2202,0.0865,8.0509,3.8478,395.5154,36909.2848
2020-01-10,0.0,0.0,7.1706,0.0004,16556.2571,0.0867,8.0512,3.7882,400.0022,37134.6513
2020-01-11,0.02,0.4473,5.3201,2012.5801,44996.1982,1.5926,8.8541,3.7588,6958.495,38698.9357
2020-01-12,0.0321,0.5664,4.4382,5017.6898,88581.7509,1.5382,8.8237,3.5888,6821.0519,39336.0292
2020-01-13,0.0238,0.4874,4.7285,5017.6898,102946.9961,1.4046,8.7521,3.8016,6821.0519,43077.5744
2020-01-14,0.0154,0.3919,6.9181,5008.8048,127823.4787,1.6096,8.862,3.6726,7817.4103,43079.1911
2020-01-15,0.0121,0.3479,6.2,5008.8048,143955.7419,1.0333,8.5524,5.3302,5006.6728,43052.3665
2020-01-16,0.0954,0.9769,5.0501,15008.9365,153644.3824,0.0043,8.0033,3.8325,30.0335,43052.5431
2020-01-17,0.0959,0.9793,4.6558,16374.1663,167198.0753,0.0043,8.0033,3.7779,30.0335,43058.1288
2020-01-18,0.1162,1.0781,4.5237,20018.1681,185687.6054,1.0657,8.5771,3.4816,5986.8973,49279.7062
2020-01-19,0.1624,1.2745,4.0742,29712.6488,233129.9028,2.7919,9.4464,3.5641,15040.6289,49393.9743
2020-01-20,0.0,0.0032,4.1492,75.6899,234494.7743,0.0503,8.0255,3.5853,265.5009,49540.9195
2020-01-21,0.1296,1.1384,4.102,30074.6166,264174.0083,0.0004,8.0003,3.1532,1.1014,20524.822
2020-01-22,0.0204,0.4515,4.1857,21450.2948,475096.6069,0.0004,8.0003,3.0843,1.1014,20589.4489
2020-01-23,0.0127,0.3564,4.3026,21525.0079,604005.9799,0.0486,8.0287,2.9353,124.5904,20589.6214
2020-01-24,0.0116,0.3399,4.1545,22235.0079,654197.3647,6.3546,9.6055,3.1199,20529.7089,60740.1278
2020-01-25,0.0088,0.2968,3.8764,21525.033,725207.955,1.0267,8.2594,3.5184,20529.8976,375945.5449
2020-01-26,0.0088,0.29600000000000004,3.8731,21525.033,727307.7656,3.6681,8.9346,3.3266,20731.1554,105364.0384
2020-01-27,0.0081,0.2849,3.9954,21525.033,755612.6567,2.96,8.674,3.1704,16397.5399,115562.7558
2020-01-28,0.0078,0.2793,3.7505,21531.1309,770918.9505,2.5124,8.6224,3.063,19137.709,146052.6765
2020-01-29,0.008,0.2833,3.8348,22189.0419,783351.8911,3.2501,8.8855,2.9160000000000004,23031.4962,123550.7999
2020-01-30,0.0078,0.2789,3.9296,22189.0419,795540.0456,0.0,8.0,3.0331,0.3145,108261.2932
2020-01-31,0.0075,0.273,4.0298,22189.0419,812907.4799,0.0,8.0,2.9561,0.3145,84860.8447
2020-02-01,0.0073,0.271,4.0669,22182.9439,818446.6629,0.0,8.0,2.8064,0.3145,58634.315
2020-02-02,0.0064,0.2521,4.1189,22187.686,880073.5552,0.5938,8.344,2.6329,2439.7328,33685.3978
2020-02-03,0.0061,0.2466,4.1798,22802.3406,924820.0934,0.0,8.0,2.9332,0.3145,33801.625
2020-02-04,0.0,0.0096,4.1341,1003.8197,1049900.5742,0.0477,8.0283,3.1347,200.49900000000002,33701.5991
2020-02-05,0.0,0.0096,4.0256,1059.9494,1106146.3219,0.2394,8.14,2.8567,993.6509,33701.7748
2020-02-06,0.0,0.0094,4.1563,1058.4213,1129866.6994,0.4355,8.2515,2.2332,1790.2905,33817.6927
2020-02-07,0.0,0.0102,4.2066,1123.4213,1098180.9614,0.0,8.0,2.1886,0.3145,34314.0797
2020-02-08,0.0,0.0099,4.4062,1098.4213,1111875.0183,0.1999,8.1173,2.173,742.7828,30067.6106
2020-02-09,0.0,0.0095,4.2567,1083.6986,1144907.9109999998,0.2672,8.1562,2.1286,991.692,30160.4608
2020-02-10,0.0,0.0074,3.8873,1054.9397,1428870.1027,0.3761,8.2191,1.6925,1390.6016,30148.6852
2020-02-11,0.0,0.0155,3.9037,2235.4026,1440703.4147,0.0628,8.0367,1.9331,1005.4233,130223.6978
2020-02-12,0.0,0.0122,3.9854,1730.2706,1414760.3959,0.0,8.0,1.9483,0.3145,30223.6797
2020-02-13,0.0004,0.0107,4.1562,1501.8452,1404786.7889,0.0289,8.0137,2.0186,88.291,30503.3051
2020-02-14,0.0006,0.0463,4.1784,6626.8452,1432729.5742,0.0292,8.0139,1.9949,88.291,30159.5284
2020-02-15,0.0005,0.0447,4.3731,6443.3864,1442514.9164,0.0291,8.0138,1.9637,87.9765,30216.4599
2020-02-16,0.0039,0.1908,4.0882,28647.0142,1501427.5797,0.0297,8.0141,1.2728,87.9765,29611.6661
2020-02-17,0.0043,0.201,4.1059,30493.7626,1516945.2173,0.0765,8.0432,1.8712,231.6697,25475.7814
2020-02-18,0.0041,0.1965,3.9814,30493.7626,1552201.2732,1.1648,8.6406,2.2154,3201.3945,23737.7529
2020-02-19,0.0035,0.1807,3.9697,28253.5126,1563337.4795,0.0165,8.0093,1.0332,45.0345,23004.94
2020-02-20,0.0052,0.222,3.9489,35252.9381,1588078.4693,0.0189,8.0106,1.032,45.0345,20184.9737
2020-02-21,0.0028,0.162,3.9426,26252.5129,1620224.2376,0.0229,8.0128,1.0307,45.0345,16654.4427
2020-02-22,0.0026,0.1561,3.9305,27352.4607,1752237.8996,0.023,8.013,1.0464,45.0345,16515.9074
2020-02-23,0.0027,0.1589,3.8812,28130.3098,1770699.2378,0.0224,8.0126,1.0514,45.0345,16964.2837
2020-02-24,0.0027,0.1584,4.0683,28145.8961,1777141.0779,0.0231,8.013,1.0357,45.0345,16448.4739
2020-02-25,0.002,0.1348,3.9737,27439.1372,2035275.0781,0.0233,8.0131,1.0285,45.0345,16368.44
2020-02-26,0.0034,0.1794,3.8028,37638.7403,2097784.3192,0.0233,8.0131,1.0128,45.0345,16368.4493
2020-02-27,0.0018,0.1267,4.0713,33945.9833,2678931.415,0.0233,8.0131,1.0039,45.0345,16368.4587
2020-02-28,0.0016,0.1214,3.9052,33754.1016,2780655.2862,0.0232,8.013,1.0172,45.0345,16412.1241
2020-02-29,0.0017,0.1229,4.125,33583.2706,2732824.3788,0.0236,8.0133,1.0123,45.0345,16137.5701
2020-03-01,0.0017,0.1267,4.0755,34523.8595,2724927.3269,0.023,8.0129,1.0077,45.0345,16569.096
2020-03-02,0.0017,0.1264,4.0849,34750.0479,2750148.31,0.0235,8.0132,1.0087,45.0345,16221.0574
