datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volumefrom_LINK_Binance,volumeto_BTC_Binance,volumefrom_LINK_Binance_1,volumeto_BTC_Binance_1,volumefrom_LINK_Binance_2,volumeto_ETH_Binance,volumefrom_LINK_Binance_3,volumeto_USDC_Binance,volumefrom_LINK_Binance_4,volumeto_USDT_Binance,volumefrom_LINK_binanceus,volumeto_USD_binanceus,volumefrom_LINK_binanceusa,volumeto_USD_binanceusa,volumefrom_LINK_Coinbase,volumeto_USD_Coinbase,volumefrom_LINK_Coinbase_8,volumeto_ETH_Coinbase,volumefrom_LINK_Gemini,volumeto_USD_Gemini,volumefrom_LINK_Gemini_10,volumeto_BTC_Gemini,volumefrom_LINK_Kraken,volumeto_BTC_Kraken,volumefrom_LINK_Kraken_12,volumeto_ETH_Kraken,volumefrom_LINK_Kraken_13,volumeto_USD_Kraken,volumefrom_LINK_BitTrex,volumeto_USDT_BitTrex,volumefrom_LINK_BitTrex_15,volumeto_BTC_BitTrex,volumefrom_LINK_BitTrex_16,volumeto_ETH_BitTrex,volumefrom_LINK_Poloniex,volumeto_USDT_Poloniex,volumefrom_LINK_Poloniex_18,volumeto_BTC_Poloniex,volumefrom_LINK_uniswap,volumeto_ETH_uniswap,Sum_volfrom_Link_Binance,Sum_volfrom_Link_Coinbase,Sum_volfrom_Link_Gemini,Sum_volfrom_Link_Kraken,Sum_volfrom_Link_BitTrex,Sum_volfrom_Link_Poloniex,Sum_volfrom_Link_uniswap,Sum_volfrom_Link_Binance_usd,Sum_volfrom_Link_Coinbase_usd,Sum_volfrom_Link_Gemini_usd,Sum_volfrom_Link_Kraken_usd,Sum_volfrom_Link_BitTrex_usd,Sum_volfrom_Link_Poloniex_usd,Sum_volfrom_Link_uniswap_usd,Sum_volfrom_Link_all,Sum_volfrom_Link_allcex,Sum_volfrom_Link_all_usd,Sum_volfrom_Link_allcex_usd
2018-07-31,0.313723,0.293934,0.313723,0.2637744046,4781262,176,4781262,176,1472288,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11034812,0,0,0,0,0,0,3243506.4304079995,0.0,0.0,0.0,0.0,0.0,0.0,11034812,11034812,3243506.4304079995,3243506.4304079995
2018-08-01,0.2954334321,0.28728,0.308805,0.26952,3057124,116,3057124,116,950985,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7065233,0,0,0,0,0,0,2029700.13624,0.0,0.0,0.0,0.0,0.0,0.0,7065233,7065233,2029700.13624,2029700.13624
2018-08-02,0.28738491590000004,0.30958,0.317333,0.28738491590000004,3903996,157,3903996,157,1300407,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9108399,0,0,0,0,0,0,2819778.1624200004,0.0,0.0,0.0,0.0,0.0,0.0,9108399,9108399,2819778.1624200004,2819778.1624200004
2018-08-03,0.3101528435,0.2848797938,1.6147938512,0.2742459798,3011080,115,3011080,115,909745,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931905,0,0,0,0,0,0,1974759.667041189,0.0,0.0,0.0,0.0,0.0,0.0,6931905,6931905,1974759.667041189,1974759.667041189
2018-08-04,0.2850812949,0.257989,0.286994,0.2485266828,2924202,108,2924202,108,558776,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6407180,0,0,0,0,0,0,1652981.96102,0.0,0.0,0.0,0.0,0.0,0.0,6407180,6407180,1652981.96102,1652981.96102
2018-08-05,0.2568471167,0.253947,0.257437,0.242065,2158664,76,2158664,76,371571,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4688899,0,0,0,0,0,0,1190731.834353,0.0,0.0,0.0,0.0,0.0,0.0,4688899,4688899,1190731.834353,1190731.834353
2018-08-06,0.2542494263,0.236471,0.25961225190000004,0.2332442442,1841715,63,1841715,63,364784,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048214,0,0,0,0,0,0,957285.2127939999,0.0,0.0,0.0,0.0,0.0,0.0,4048214,4048214,957285.2127939999,957285.2127939999
2018-08-07,0.23516202790000001,0.233997,0.2591554815,0.232132,3001028,104,3001028,104,520543,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6522599,0,0,0,0,0,0,1526268.5982030001,0.0,0.0,0.0,0.0,0.0,0.0,6522599,6522599,1526268.5982030001,1526268.5982030001
2018-08-08,0.23416075520000001,0.22804,0.2365136142,0.220033,2002028,70,2002028,70,600790,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4604846,0,0,0,0,0,0,1050089.0818399999,0.0,0.0,0.0,0.0,0.0,0.0,4604846,4604846,1050089.0818399999,1050089.0818399999
2018-08-09,0.22809600570000002,0.276128,0.300537,0.22809600570000002,13616605,588,13616605,588,3030861,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30264071,0,0,0,0,0,0,8356757.397088,0.0,0.0,0.0,0.0,0.0,0.0,30264071,30264071,8356757.397088,8356757.397088
