datetime,balance_0xe0362,balance_0x75398,balance_0x5560d,balance_0xdad22,balance_0xbe697,balance_0xf37c3,balance_nodeops,Sum_treasury,Total_supply,Circulating_supply,Treasury (% of total supply)
2017-09-15,0,0,0,0,0,0,0,0,1000000000,1000000000,0.0
2017-09-16,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-17,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-18,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-19,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-20,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-21,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-22,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-23,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-24,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-25,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-26,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-27,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-28,50000000,50000000,50000000,50000000,50000000,50000000,350000000,300000000,1000000000,350000000,0.3
2017-09-29,50000000,50000000,50000000,50000000,50000000,48590421,350000000,298590421,1000000000,351409579,0.298590421
2017-09-30,50000000,50000000,50000000,50000000,50000000,48590421,350000000,298590421,1000000000,351409579,0.298590421
2017-10-01,50000000,50000000,50000000,50000000,50000000,48590421,350000000,298590421,1000000000,351409579,0.298590421
2017-10-02,50000000,50000000,50000000,50000000,50000000,48590421,350000000,298590421,1000000000,351409579,0.298590421
2017-10-03,50000000,50000000,50000000,50000000,50000000,48590421,350000000,298590421,1000000000,351409579,0.298590421
2017-10-04,50000000,50000000,50000000,50000000,50000000,48590421,350000000,298590421,1000000000,351409579,0.298590421
2017-10-05,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-06,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-07,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-08,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-09,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-10,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-11,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-12,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-13,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-14,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-15,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-16,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-17,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-18,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-19,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-20,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-21,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-22,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-23,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-24,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-25,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-26,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-27,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-28,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-29,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-30,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-10-31,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-01,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-02,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-03,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-04,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-05,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-06,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-07,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-08,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-09,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-10,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-11,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-12,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-13,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-14,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-15,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-16,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-17,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-18,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-19,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-20,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-21,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-22,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
